This file was created by CMPT_BEME_RETS using the 201712 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on BE/ME.

The portfolios are constructed at the end of June.  BE/ME is book equity at
the last fiscal year end of the prior calendar year divided by ME at the end
of December of the prior year.  

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points use Compustat firms plus the firms hand-collected from the
Moodys Industrial, Utilities, Transportation, and Financial Manuals.

The  portfolios  use Compustat firms plus the firms hand-collected from the
Moodys Industrial, Utilities, Transportation, and Financial Manuals.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
192607,   12.07,    5.56,    1.92,    1.06,    3.19,    5.41,    1.77,    2.44,    0.60,    4.63,    1.24,   11.40,    1.68,    1.50,    2.09,    2.73,    1.58,    0.63,    0.52
192608,   -9.73,    2.64,    2.64,    6.09,    1.00,    4.01,    2.05,    4.58,    7.10,    0.15,    2.18,    6.40,    2.38,    1.58,    2.63,    4.46,    4.94,    8.31,    3.92
192609,  -15.16,    1.29,    0.06,   -0.71,   -1.03,    3.05,   -0.30,   -0.17,   -1.46,   -0.11,   -2.30,    6.32,    0.73,   -0.89,    0.38,   -0.28,    0.17,   -2.16,    0.44
192610,   -5.63,   -3.59,   -2.42,   -3.59,   -2.88,   -2.96,   -2.21,   -4.18,   -4.28,   -3.78,   -1.63,   -5.01,   -1.41,   -2.31,   -2.10,   -4.65,   -2.80,   -5.46,   -1.17
192611,    5.58,    3.13,    2.92,    3.13,    4.11,    2.57,    1.89,    3.96,    2.48,    6.03,    1.49,    1.11,    3.63,    1.97,    1.80,    4.00,    3.85,    2.77,    1.76
192612,   -6.13,    2.96,    2.58,    2.61,    1.69,    3.33,    1.82,    5.20,    2.06,    1.31,    2.23,    5.68,    1.69,    0.66,    3.15,    5.90,    3.21,    1.38,    3.81
192701,    0.69,   -0.29,    0.02,    4.33,   -0.37,    0.36,   -0.47,    0.68,    5.50,   -0.55,   -0.12,   -0.10,    0.71,   -1.65,    0.87,   -0.12,    3.03,    4.69,    7.51
192702,   -1.26,    4.97,    3.66,    8.14,    3.71,    5.04,    3.39,    5.49,    9.22,    4.45,    2.66,    7.57,    3.22,    3.77,    2.96,    5.00,    6.91,    8.06,   12.04
192703,  -12.81,    1.21,    0.16,   -2.64,    0.25,    1.56,   -0.42,   -0.16,   -1.93,    0.71,   -0.42,    3.13,    0.38,   -1.78,    1.08,    1.02,   -3.48,   -3.04,    0.67
192704,   -6.16,    2.92,   -0.70,    0.41,    2.17,    0.97,   -0.44,   -0.03,    1.74,    3.94,   -0.41,    4.36,   -1.65,   -1.11,    0.30,    0.35,   -1.16,    2.22,    0.66
192705,    0.76,    5.41,    5.04,    8.92,    5.57,    4.89,    5.25,    6.10,    8.92,    5.74,    5.31,    5.11,    4.71,    5.21,    5.28,    5.15,    8.93,    8.07,   10.85
192706,   23.18,   -0.98,   -2.86,   -2.22,    0.08,   -3.10,   -2.69,   -2.51,   -2.35,    0.92,   -1.21,   -3.00,   -3.18,   -2.65,   -2.73,   -2.66,   -2.07,   -2.13,   -2.83
192707,    3.23,    9.12,    6.66,    6.72,   10.51,    5.98,    6.60,    7.89,    6.92,   11.47,    8.89,    6.64,    4.58,    5.73,    7.83,    8.87,    6.62,    7.49,    6.09
192708,    6.25,    3.88,    1.04,   -1.51,    5.26,    1.53,    0.58,    0.04,   -1.34,    6.61,    2.96,    1.33,    1.96,    1.37,   -0.52,    1.30,   -1.60,    0.37,   -3.89
192709,   -7.35,    5.32,    4.28,    5.05,    5.84,    3.84,    5.25,    3.80,    6.17,    7.44,    3.00,    4.31,    2.80,    6.31,    3.76,    3.28,    4.49,    5.85,    6.67
192710,    1.59,   -3.56,   -4.18,   -6.50,   -4.31,   -2.17,   -3.69,   -5.92,  -10.80,   -3.97,   -4.94,   -2.08,   -2.37,   -3.99,   -3.25,   -7.15,   -4.30,  -11.51,   -9.71
192711,    0.00,    7.14,    6.83,    7.20,    7.19,    7.00,    6.42,    7.18,    8.98,    7.43,    6.72,    7.03,    6.93,    6.32,    6.57,    7.82,    6.35,    8.51,    9.70
192712,    9.38,    2.57,    1.89,    3.31,    2.65,    2.07,    1.82,    2.45,    5.65,    3.29,    1.39,    2.42,    1.29,    1.90,    1.72,    2.67,    2.16,    6.30,    4.68
192801,    0.00,   -0.39,   -0.20,   -1.36,   -0.74,    0.14,   -0.28,   -0.54,   -1.75,   -1.45,    0.70,    0.27,   -0.15,   -0.87,    0.57,   -0.07,   -1.16,   -0.63,   -3.43
